to work out,obroić
certaily,na pewno
put on weight,przybrać na wadze
just,właśnie
to biol,gotować
to fry,smażyć
cereal,zboże
a nutritionist,specjalista od żywienia
a nutrition,pożywienie
nutritious,pożywny
nutritional,odżywcze
according,według
recent,niedawny
recently,niedawno
a research,badania
a disease,choroba
to think up,wymyślać
a vegetable,warzywo
a vegetable oil,olej roślinny
a vegetable soup,zupa warzywna
a vegetable matter, materia roślinna
likely,prawdopodobnie
likely to be,prawdopodobieństwo
likely to happen,może się zdarzyć
particular,szczególny
particularly,szczególnie
particularity,osobliwy
a harm,szkoda
to harm out,wyrządzić krzywdę
a fibre,błonnik
to peel,obierać
peeled,obrane
to peal off,obrać
a peeler,przyrząd do obierania
a variety,różnorodność
varieties,odmiany
a carbohydrate,węglowodan
a protein,białko
a cure,lekarstwo
cured,leczony
